Dataset,Model,DimReduction,Dimensions,ClusterizationMethod,CohenK
plantvillage,regnet_x_800mf,tsne,1,GMM,0.517608795903012
plantvillage,regnet_x_800mf,tsne,1,DBSCAN,0.283386046286609
plantvillage,regnet_x_800mf,umap,2,KMeans,0.587108272686767
plantvillage,regnet_x_800mf,umap,2,Hierarchical,0.631553625695024
plantvillage,regnet_x_800mf,umap,2,GMM,0.585580572017216
plantvillage,regnet_x_800mf,umap,2,DBSCAN,0.55086032388664
plantvillage,regnet_x_800mf,umap,1,KMeans,0.582512374453362
plantvillage,regnet_x_800mf,umap,1,Hierarchical,0.77004977004977
plantvillage,regnet_x_800mf,umap,1,GMM,0.584667613704765
plantvillage,regnet_x_800mf,umap,1,DBSCAN,0.467315533342102
plantvillage,regnet_x_800mf,pca,2,KMeans,0.185896920479215
plantvillage,regnet_x_800mf,pca,2,Hierarchical,0.201897054573163
plantvillage,regnet_x_800mf,pca,2,GMM,0.190678759665035
plantvillage,regnet_x_800mf,pca,2,DBSCAN,0.251886546968514
plantvillage,regnet_x_800mf,pca,1,KMeans,0.185896920479215
plantvillage,regnet_x_800mf,pca,1,Hierarchical,0.201897054573163
plantvillage,regnet_x_800mf,pca,1,GMM,0.190678759665035
plantvillage,regnet_x_800mf,pca,1,DBSCAN,0.251886546968514
plantvillage,regnet_x_8gf,tsne,2,KMeans,0.645146933227479
plantvillage,regnet_x_8gf,tsne,2,Hierarchical,0.667323953885051
plantvillage,regnet_x_8gf,tsne,2,GMM,0.641306968893176
plantvillage,regnet_x_8gf,tsne,2,DBSCAN,0.769810487812569
plantvillage,regnet_x_8gf,tsne,1,KMeans,0.762304502975707
plantvillage,regnet_x_8gf,tsne,1,Hierarchical,0.597091898861113
plantvillage,regnet_x_8gf,tsne,1,GMM,0.782590315606392
